,0
0,"
          Rollsking
         : 
          4.0
      "
1,"
          BTW
         : 
          3.9
      "
2,"
          Delhi Darbar Biryani Point
         : 
          4.2
      "
3,"
          Godavari Bakery
         : 
          3.8
      "
4,"
          The Good Bowl
         : 
          4.2
      "
5,"
          Scoops
         : 
          4.0
      "
6,"
          Burger King
         : 
          4.1
      "
7,"
          Om Sweets & Snacks
         : 
          4.3
      "
8,"
          The Belgian Waffle Co.
         : 
          4.0
      "
9,"
          Aggarwal Standard Sweets
         : 
          3.9
      "
10,"
          Caterspoint
         : 
          4.6
      "
11,"
          Peppy Pizza Market
         : 
          3.7
      "
12,"
          FreshQo
         : 
          4.6
      "
13,"
          Tummy Section
         : 
          3.6
      "
14,"
          Biryani e Nawaab
         : 
          3.6
      "
15,"
          La Pino'z Pizza
         : 
          4.1
      "
16,"
          Roll Xpress
         : 
          3.5
      "
17,"
          Burger Singh
         : 
          3.9
      "
18,"
          The Curry Leaf
         : 
          4.0
      "
19,"
          Fingerlickerz Bombay Wala
         : 
          4.0
      "
20,"
          Giani's
         : 
          4.0
      "
21,"
          KC Restaurant
         : 
          4.0
      "
22,"
          Biryani's King
         : 
          3.5
      "
23,"
          The Burger Club
         : 
          4.2
      "
24,"
          China Grill
         : 
          3.9
      "
25,"
          Bikaner Sweets & Restaurant
         : 
          3.5
      "
26,"
          Faasos
         : 
          3.9
      "
27,"
          Taco Bell
         : 
          4.1
      "
28,"
          Variety Food Junction
         : 
          3.5
      "
29,"
          Shakes Junction
         : 
          3.8
      "
